啊	a/ā/è/á/ǎ/à
䬝	héng
𤮏	héng
姮	héng
烆	héng
𪏓	héng
㶇	héng
𩙯	héng
鑅	héng
𠔲	héng
𧝒	héng
㔰	héng
𦶙	héng
䬖	héng
𠧿	héng
𥞧	héng
橫	héng
䯒	héng
恆	héng/gèng
珩	héng/háng
桁	héng/háng/hàng
横	héng/hèng/guāng/guàng/huáng/huàng
撔	hòng
𥰲	hòng
訌	hòng
㶹	hòng
𩰓	hòng
𠳃	hòng
𩒴	hòng
𥥡	hòng
𦕷	hòng
澋	hòng
讧	hòng
𦶓	hòng
𡺭	hòng
𩗢	hòng
𥈿	hòng
𧋔	hòng
澒	hòng
𧊯	hòng
𧾧	hòng
銾	hòng/gǒng
蕻	hòng/hóng
鬨	hòng/xiàng
閧	hòng/xiàng
闂	hòng/xiàng/juǎn
𠷋	hòu
𩘋	hòu
𪇂	hòu
洉	hòu
豞	hòu
𥀃	hòu
𥅠	hòu
𧙺	hòu
㫗	hòu
䞀	hòu
郈	hòu
垕	hòu
䞧	hòu
堠	hòu
鮜	hòu
逅	hòu
後	hòu
鲘	hòu
𩄬	hòu
鱟	hòu
𪄗	hòu
𧩨	hòu
鲎	hòu
䪷	hòu/gòu
𡵓	hóng
綋	hóng
𠪷	hóng
彋	hóng
葓	hóng
䉺	hóng
䧆	hóng
䡌	hóng
鈜	hóng
洪	hóng
䫹	hóng
泓	hóng
𢂔	hóng
紭	hóng
仜	hóng
閎	hóng
𨥺	hóng
𩘎	hóng
黌	hóng
𤄏	hóng
纮	hóng
翃	hóng
𧮴	hóng
𨾊	hóng
翝	hóng
娂	hóng
𨌆	hóng
粠	hóng
宏	hóng
䞑	hóng
䨎	hóng
潂	hóng
妅	hóng
浤	hóng
鞃	hóng
耾	hóng
竑	hóng
苰	hóng
𨹁	hóng
𢘌	hóng
宖	hóng
葒	hóng
谼	hóng
㖓	hóng
鋐	hóng
𤂲	hóng
硔	hóng
闳	hóng
霐	hóng
䪦	hóng
荭	hóng
黉	hóng
䫺	hóng
玒	hóng
鉷	hóng
𫚉	hóng
㢬	hóng
汯	hóng
垬	hóng
霟	hóng
䲨	hóng
竤	hóng
𢬀	hóng
谹	hóng
𦁷	hóng
峵	hóng
鸿	hóng
吰	hóng
𡇳	hóng
𠲓	hóng
𥏕	hóng
𦐌	hóng
𧈽	hóng
紘	hóng
𧐬	hóng
䩑	hóng
弘	hóng
䡏	hóng
䆖	hóng
红	hóng
㗢	hóng/dòng/hòng
渱	hóng/gòng
𦏺	hóng/gòng
魟	hóng/gōng
紅	hóng/gōng/jiàng
篊	hóng/huáng
鴻	hóng/hòng
虹	hóng/hòng/gòng
䂫	hóng/hāng
䃔	hóng/qióng
𥥈	hóng/wòng
䫛	hóu
帿	hóu
㗋	hóu
𪃶	hóu
𡟑	hóu
𣣠	hóu
𦞕	hóu
鯸	hóu
䂉	hóu
𧼵	hóu
𧇹	hóu
𥈑	hóu
𪑻	hóu
𦞈	hóu
翭	hóu
餱	hóu
𩃺	hóu
𡹵	hóu
㮢	hóu
篌	hóu
𦑚	hóu
矦	hóu
糇	hóu
䳧	hóu
𧮶	hóu
瘊	hóu
鄇	hóu
㬋	hóu
鍭	hóu
㺅	hóu
骺	hóu
睺	hóu
䙈	hóu
𥚦	hóu
𣣡	hóu
葔	hóu
㤧	hóu
𢜴	hóu
𣔹	hóu
𡞥	hóu
侯	hóu/hòu
䗔	hóu/hòu
翵	hóu/qú
銗	hóu/xiàng
𦚥	hóu/yóu
𪏳	hù
韄	hù
𣑂	hù
熩	hù
𥢟	hù
鄠	hù
𨝞	hù
𢆰	hù
𤨖	hù
槴	hù
弖	hù
嗀	hù
鸌	hù
𡵘	hù
乥	hù
婟	hù
𢨦	hù
𡜂	hù
𥲉	hù
㺉	hù
𢨥	hù
𧅰	hù
𧂔	hù
滬	hù
㕆	hù
𡻮	hù
𧿓	hù
𢚪	hù
𪍂	hù
𨢤	hù
𧘢	hù
䨼	hù
鹱	hù
簄	hù
𧗌	hù
鳸	hù
䪝	hù
嫮	hù
鍙	hù
𦭈	hù
岵	hù
𦊘	hù
冱	hù
𦬚	hù
䕶	hù
怙	hù
𦊂	hù
护	hù
昈	hù
𧲇	hù
㨭	hù
䊺	hù
䇘	hù
嫭	hù
𡞠	hù
䍓	hù
𤹣	hù
帍	hù
𧹲	hù
綔	hù
扈	hù
鱯	hù
戸	hù
𧥯	hù
𤘔	hù
祜	hù
𨥛	hù
𤜷	hù
頀	hù
𧆯	hù
互	hù
冴	hù
枑	hù
𨱀	hù
護	hù
沪	hù
戽	hù
蔰	hù
鳠	hù
𣲑	hù/chí/hé/hú
摢	hù/chū
𧿠	hù/dì
𧥮	hù/dǐ
𧦚	hù/dǐ
𠰛	hù/gào
怘	hù/gù
𪄮	hù/gù
戶	hù/hu
户	hù/hu
沍	hù/hú
瓠	hù/hú/huò/gū
雽	hù/hū
㸦	hù/jià
𡴱	hù/jié
楛	hù/kǔ
𠯳	hù/wěn
笏	hù/wěn/wù
芐	hù/xià
㷤	hù/xuè
嚛	hù/yo
慁	hùn
䛰	hùn
焝	hùn
𦡵	hùn
掍	hùn
𡇯	hùn
倱	hùn
𦵣	hùn
诨	hùn
䧰	hùn
諢	hùn
觨	hùn
䅱	hùn
𨡫	hùn
䅙	hùn
𧣢	hùn
𨂱	hùn
𦞢	hùn
㥵	hùn
䫟	hùn
𩏖	hùn
𩇇	hùn
𣣞	hùn
俒	hùn
圂	hùn/huàn
溷	hùn/hún
䚠	hùn/hún
混	hùn/hún/gǔn/kūn
蔛	hú
衚	hú
𣎚	hú
䞱	hú
𥾨	hú
斛	hú
𪕉	hú
𣄟	hú
𦏗	hú
𪂒	hú
抇	hú
猢	hú
鶘	hú
囫	hú
䭅	hú
壺	hú
䉿	hú
䩴	hú
瓳	hú
𡍐	hú
𥷆	hú
湖	hú
𨢋	hú
𣛫	hú
𥂤	hú
縠	hú
𦧘	hú
𧍵	hú
㪶	hú
㽇	hú
煳	hú
𣫈	hú
𪕱	hú
䭌	hú
𡹹	hú
𧇰	hú
蝴	hú
𩱍	hú
弧	hú
壶	hú
焀	hú
𤘵	hú
𪕮	hú
槲	hú
𥰪	hú
瑚	hú
鶦	hú
㗅	hú
㾰	hú
箶	hú
𧲥	hú
𤝘	hú
胡	hú
𩢪	hú
𣹬	hú
𪏻	hú
鰗	hú
𤌍	hú
𦴉	hú
䧼	hú
𠴱	hú
𩵬	hú
𣙶	hú
頶	hú
𦺟	hú
䭍	hú
𢉢	hú
𪙈	hú
𤾅	hú
𨣗	hú
𥐿	hú
𧞒	hú
𦷳	hú
𤭱	hú
螜	hú
鍸	hú
𧣼	hú
䚛	hú
𦊧	hú
𩾻	hú
餬	hú
嘝	hú
瀫	hú
𢑹	hú
䠒	hú
𨴬	hú
媩	hú
𤞲	hú
𣝗	hú
𦗣	hú
𧹾	hú
䈸	hú
楜	hú
䊀	hú
𥶜	hú
𦖼	hú
絗	hú
䎁	hú
鬍	hú
㯛	hú
壷	hú
𩰯	hú
葫	hú
𡰅	hú
𧛞	hú
𢎵	hú
鹕	hú
醐	hú
狐	hú
喖	hú
𢪏	hú/gǔ
鵠	hú/gǔ/hè
𨍲	hú/gǔn
𩨔	hú/huá
魱	hú/hù
𩑶	hú/kū
搰	hú/kū
䁫	hú/méng
隺	hú/què/hè
觳	hú/què/jué
𢏯	hú/shǐ
𧻰	hú/zào
浑	hún
𩧰	hún
䮝	hún
𣨿	hún
魂	hún
𨋨	hún
堚	hún
鼲	hún
㑮	hún
轋	hún
繉	hún
䰟	hún
𣝂	hún
㨡	hún
忶	hún
馄	hún
𦟲	hún
𪌽	hún
䊐	hún
䴷	hún/huàn
㮯	hún/huá
琿	hún/huī
渾	hún/hùn/gǔn
梡	hún/kuǎn
餛	hún/kūn
𨏂	hún/xuān
铪	hā
𨉣	hā
哈	hā/hà/hē/hé/hǎ/tà/shà
㱼	hāi
㰧	hāi
㰩	hāi
㾂	hāi
𨸜	hāi
㨟	hāi
嗨	hāi/hēi
咳	hāi/ké/hái/gāi
咍	hāi/tāi
𣢇	hāi/xī
顸	hān
谽	hān
鼾	hān
𧮳	hān
炶	hān
𧭻	hān
䣻	hān
𤸕	hān
馠	hān
憨	hān
㤷	hān
𩈣	hān
𣢅	hān
𧮰	hān
𣢺	hān
𧹣	hān
𡬖	hān
𣝽	hān
佄	hān/gàn
酣	hān/hàn
䘶	hān/hàn
𧵊	hān/hàn/tàn
蚶	hān/hán
歛	hān/liǎn
𠵸	hān/mí
嫨	hān/nǎn
𩲋	hāng
𠡊	hāng
𩠾	hāng
𪕇	hāng
㰠	hāng
𤵻	hāng
䦭	hāng
𪐦	hāng
夯	hāng/bèn
薅	hāo
𣭹	hāo
嚆	hāo
𤡇	hāo
𢻇	hāo
𩮘	hāo
𤢨	hāo
𣭖	hāo
𧯌	hāo
𡽝	hāo
蒿	hāo/gǎo
薧	hāo/kǎo
茠	hāo/xiū/kòu
𥘫	hē
訶	hē
𩑸	hē
𦘿	hē
𪖲	hē
𠳊	hē
蠚	hē
䶎	hē
诃	hē
䏜	hē
嗬	hē
𢥳	hē
㿣	hē
𩐥	hē
𠀀	hē
𣣹	hē
𠵩	hē
喝	hē/he/hè/yè/kài
抲	hē/hè/qiā
㰤	hē/qiè
欱	hē/xiá
黒	hēi
黑	hēi
潶	hēi
𢖛	hēi
𨭆	hēi
𥕙	hēi
𩻤	hēi
𢡀	hēi
㱄	hēi/mò
嘿	hēi/mò/mù
𣨉	hēng
脝	hēng
𦨾	hēng
哼	hēng/hng
悙	hēng/hèng
亨	hēng/xiǎng/pēng
詪	hěn
很	hěn
佷	hěn/héng
䓳	hěn/xié
狠	hěn/yán/kěn/hǎng
𩘇	hōng
薨	hōng
輷	hōng
硡	hōng
灴	hōng
鍧	hōng
𠹅	hōng
𩐠	hōng
𦐳	hōng
𥔀	hōng
轰	hōng
軣	hōng
嚝	hōng
𢝻	hōng
呍	hōng
𤟼	hōng
𩗄	hōng
𥓰	hōng
𤃫	hōng
轟	hōng
𩙛	hōng
焢	hōng
䎕	hōng
𨎗	hōng
𦑟	hōng
䆪	hōng
𠐿	hōng
𩖉	hōng
𪈘	hōng
𦕠	hōng
𦒃	hōng
𦑠	hōng
𩒼	hōng
𩓅	hōng
烘	hōng
𥕗	hōng
𨌁	hōng/chūn
叿	hōng/hóng
揈	hōng/hóng/xuàn/jū
哄	hōng/hǒng/hòng
訇	hōng/jùn/hēng
谾	hōng/lóng
渹	hōng/qìng
𪅺	hōu
𪖙	hōu
𩙡	hōu
齁	hōu/kù
𠯜	hōu/xǔ
戯	hū
𩶈	hū
虍	hū
匢	hū
惚	hū
𦁕	hū
𩂂	hū
匫	hū
䰧	hū
淴	hū
昒	hū
𢑢	hū
乯	hū
唿	hū
𨕚	hū
𡧥	hū
㧾	hū
寣	hū
䓤	hū
䴯	hū
𡼘	hū
䴣	hū
烀	hū
𩳨	hū
忽	hū
𣡾	hū
歑	hū
𦩕	hū
㧮	hū
𢽨	hū
𠦪	hū
𠥰	hū
雐	hū
垀	hū
䬍	hū
𤶘	hū
𡱽	hū
𥇰	hū
軤	hū
𤐀	hū
𧇛	hū
㫚	hū
𧩓	hū
𧠩	hū
𧢰	hū
䨚	hū
𩖨	hū
苸	hū
𤎲	hū
𨖃	hū
𣓗	hū
𤇠	hū
泘	hū
轷	hū
曶	hū
呼	hū/hu/xiāo/xū/hè/xià
𧦝	hū/hào
嘑	hū/hù
虖	hū/hú/hù
滹	hū/hǔ
䩐	hū/jí/gé
恗	hū/kuā
㳷	hū/mǐn/wěn/tuì
幠	hū/wú
膴	hū/wǔ/méi
㦆	hū/xiā
謼	hū/xiāo
㦌	hū/xù
𡨩	hūn
棔	hūn
𣇲	hūn
䎜	hūn
阍	hūn
昬	hūn
睧	hūn
荤	hūn
𣣏	hūn
閽	hūn
𩅴	hūn
𧠚	hūn
婚	hūn
睯	hūn
涽	hūn/hùn
𠉣	hūn/hùn
昏	hūn/hún/hùn
惛	hūn/hǔn/mèn
殙	hūn/mèn
惽	hūn/mǐn
㖧	hūn/wěn
䡣	hūn/xuān
葷	hūn/xūn
烸	hǎi
𨡬	hǎi
海	hǎi
醢	hǎi
𣖻	hǎi
酼	hǎi
𥂧	hǎi
𥁐	hǎi
𣳠	hǎi/mǔ
䓍	hǎn
䍐	hǎn
䍑	hǎn
㘚	hǎn
蔊	hǎn
丆	hǎn
𠽦	hǎn
𧯘	hǎn
㘎	hǎn
㺖	hǎn
㸁	hǎn
浫	hǎn
阚	hǎn
𧾔	hǎn
鬫	hǎn
𣛴	hǎn
𦒝	hǎn
豃	hǎn/gǎn
罕	hǎn/hàn
喊	hǎn/kàn/jiān
㘕	hǎn/lán
厈	hǎn/àn
𤫧	hǎo
𡥆	hǎo/hào
好	hǎo/hāo/hào
郝	hǎo/shì
䀧	hǒng
𩕆	hǒng
㬴	hǒng
𨢣	hǒng
𩒓	hǒng
晎	hǒng
𣽝	hǒng
𢗵	hǒng
𩕉	hǒng
𢼦	hǒng
嗊	hǒng/gǒng/gòng
𢦅	hǒng/zhuàng
犼	hǒu
𠴣	hǒu
𦍵	hǒu
𤘽	hǒu
𧻿	hǒu
𤙽	hǒu
㖃	hǒu/hòu
㸸	hǒu/ǒu/kǒu
𧌧	hǔ
䗂	hǔ
𨛵	hǔ
𧆮	hǔ
乕	hǔ
𧰴	hǔ
𧆢	hǔ
浒	hǔ
萀	hǔ
𨝘	hǔ
琥	hǔ
虝	hǔ
俿	hǔ/chí
箎	hǔ/chí
虎	hǔ/hu/hù
汻	hǔ/huǎng
滸	hǔ/xǔ
𩽼	hǔn
𪑕	hǔn
鯶	hǔn
𦃕	hǔn
樭	ji
亽	ji
廭	ji
輯	ji/jí
辑	ji/jí
糘	jia
稼	jia/jià
殱	jian
橺	jian
墹	jian
彅	jian
礀	jian
杢	jiang
櫤	jiang
匠	jiang/jiàng
鵤	jiao
櫵	jiao
纐	jiao
桝	jie
姐	jie/jiě/jù/xù/zū
壗	jin
砛	jin
琻	jin
燝	jing
橸	jing
睛	jing/jīng/jǐng
杦	jiu
𣐤	jiu
汣	jiu
欍	jiu
𢉤	jià
幏	jià
𢱌	jià
驾	jià
𢱈	jià
嫁	jià
榢	jià
𦨦	jià
𥋣	jià
架	jià
𢜿	jià
价	jià/jiè/jie
駕	jià/jiā
𦙺	jià/jiā
價	jià/qiǎ/jie
䧖	jiàn
寋	jiàn
繝	jiàn
饯	jiàn
健	jiàn
轞	jiàn
劎	jiàn
𪋁	jiàn
䬻	jiàn
鍵	jiàn
譼	jiàn
谏	jiàn
䇟	jiàn
渐	jiàn
㨴	jiàn
䯡	jiàn
荐	jiàn
𣽦	jiàn
𨵭	jiàn
艦	jiàn
䤔	jiàn
餞	jiàn
賤	jiàn
𨏊	jiàn
鑑	jiàn
舰	jiàn
𧂂	jiàn
俴	jiàn
㰄	jiàn
𥽐	jiàn
臶	jiàn
徤	jiàn
踐	jiàn
𧂆	jiàn
㯺	jiàn
𩻘	jiàn
䭈	jiàn
涧	jiàn
㣤	jiàn
鑒	jiàn
劍	jiàn
糋	jiàn
珔	jiàn
擶	jiàn
薦	jiàn
𪆿	jiàn
贱	jiàn
剑	jiàn
𦾶	jiàn
牮	jiàn
𩉔	jiàn
諓	jiàn
𨪅	jiàn
箭	jiàn
劔	jiàn
鉴	jiàn
键	jiàn
毽	jiàn
建	jiàn
磵	jiàn
𨷓	jiàn
𦩵	jiàn
踺	jiàn
賎	jiàn
鍳	jiàn
𤀩	jiàn
𠊒	jiàn
䥜	jiàn
趝	jiàn
㵎	jiàn
澗	jiàn
𤷃	jiàn
𨎫	jiàn
溅	jiàn
𥴱	jiàn
劒	jiàn
𪃛	jiàn
鑬	jiàn
𧙧	jiàn
𣴓	jiàn
𤧣	jiàn
𢆦	jiàn
剣	jiàn
𧗸	jiàn
旔	jiàn
剱	jiàn
鑳	jiàn
践	jiàn
釼	jiàn
覵	jiàn/biǎn
螹	jiàn/chán
洊	jiàn/cún
鋻	jiàn/jiān
𪙨	jiàn/jiān
閒	jiàn/jiān/jiǎn/xián
漸	jiàn/jiān/qián/chán
蔪	jiàn/jiān/shān
濺	jiàn/jiān/zàn
楗	jiàn/jiǎn
𪉦	jiàn/jiǎn/gàn
榗	jiàn/jìn
諫	jiàn/làn
件	jiàn/móu
腱	jiàn/qián
葥	jiàn/qián
鐱	jiàn/qiān
𥯦	jiàn/shà
𧀵	jiàn/shǎn
见	jiàn/xiàn/jian
見	jiàn/xiàn/jian
䟅	jiàn/zàn
鏩	jiàn/zàn
僭	jiàn/zèn
瀳	jiàn/zùn
袸	jiàn/zùn
栫	jiàn/zùn
匞	jiàng
绛	jiàng
䞪	jiàng
滰	jiàng
𩝽	jiàng
醬	jiàng
弜	jiàng
袶	jiàng
𪀘	jiàng
摾	jiàng
絳	jiàng
酱	jiàng
𣩴	jiàng
𨯞	jiàng
𩷄	jiàng
𩷭	jiàng
犟	jiàng
夅	jiàng
醤	jiàng
弶	jiàng
嵹	jiàng
謽	jiàng
𡲣	jiàng
䥒	jiàng
𩴒	jiàng
𣨣	jiàng
𢘸	jiàng
𥞜	jiàng
𣚦	jiàng
糡	jiàng
洚	jiàng/hóng
糨	jiàng/jiāng
𠼢	jiàng/qiàng
降	jiàng/xiáng
轿	jiào
𨎬	jiào
嘦	jiào
𧺜	jiào
皭	jiào
斠	jiào
轎	jiào
𢥚	jiào
呌	jiào
叫	jiào
釂	jiào
𢼫	jiào
譥	jiào
藠	jiào
𡥈	jiào
㰾	jiào
𩱞	jiào
𩯘	jiào
珓	jiào
獥	jiào
嘂	jiào
峤	jiào
较	jiào
𢕪	jiào
滘	jiào
訆	jiào
嬓	jiào
㬭	jiào
𧾐	jiào
㠐	jiào
酵	jiào
𨡃	jiào
𢒾	jiào
𪖄	jiào
𨲭	jiào
𥘊	jiào
𥡤	jiào
趭	jiào
漖	jiào
䂃	jiào
𡬋	jiào
敎	jiào
𩊔	jiào
𥦢	jiào
𠘣	jiào
𤫷	jiào
𦮁	jiào
𤕝	jiào/bó
挍	jiào/jiāo
教	jiào/jiāo
噍	jiào/jiāo/jiū
徼	jiào/jiǎo/jiāo/yāo
潐	jiào/jiǎo/qiáo
較	jiào/jué/xiào
叽	jiào/jī
窌	jiào/pào/liáo/liù
噭	jiào/qiào/chī
嶠	jiào/qiáo
醮	jiào/qiáo/zhàn
窖	jiào/zào
𢫢	jiá
𧿵	jiá
鴶	jiá
䕛	jiá
戛	jiá
郟	jiá
扴	jiá
𩠃	jiá
㮖	jiá
郏	jiá
戞	jiá
鵊	jiá
㿓	jiá
忦	jiá
𩚲	jiá
㪴	jiá
𥞵	jiá
頬	jiá
𩛩	jiá
𥑔	jiá
㕅	jiá
𪈟	jiá
莢	jiá
颊	jiá
𩉡	jiá
𥇗	jiá
頰	jiá
𦎱	jiá
铗	jiá
荚	jiá
蛺	jiá
𪇷	jiá
鞂	jiá
圿	jiá
䛟	jiá
𦧮	jiá
鋏	jiá
𦽤	jiá
𦸘	jiá
𦺧	jiá
𡊠	jiá
𨒇	jiá
蛱	jiá
䩡	jiá/gé
餄	jiá/hé
骱	jiá/jiè/xiè
跲	jiá/jié
岬	jiá/jiǎ
唊	jiá/qiǎn
恝	jiá/qì
䀫	jiá/tǔn
𡵚	jiè
衸	jiè
𡗦	jiè
犗	jiè
丯	jiè
琾	jiè
𩧦	jiè
誡	jiè
𠷟	jiè
畍	jiè
疥	jiè
庎	jiè
𧜅	jiè
𤙩	jiè
蚧	jiè
蛶	jiè
戒	jiè
徣	jiè
𩡺	jiè
借	jiè
岕	jiè
堺	jiè
届	jiè
䇒	jiè
㑘	jiè
䰺	jiè
褯	jiè
㿍	jiè
𪑹	jiè
䱄	jiè
楐	jiè
㠹	jiè
𠓢	jiè
玠	jiè
屆	jiè
界	jiè
䛺	jiè
诫	jiè
𤘦	jiè
魪	jiè
䯰	jiè
鎅	jiè
𧣋	jiè
𨐑	jiè
躤	jiè
㝏	jiè
砎	jiè
𨵠	jiè
䲸	jiè
𡗲	jiè/bēn
𣬫	jiè/gà
芥	jiè/gài
介	jiè/gè
吤	jiè/gè/xiè
𪙏	jiè/jiá
藉	jiè/jí
悈	jiè/kè
楷	jiè/kǎi
㾏	jiè/yá
㨩	jié
讦	jié
卩	jié
㘶	jié
鲒	jié
刦	jié
詰	jié
卪	jié
䀷	jié
劼	jié
𪇲	jié
𪁍	jié
蠽	jié
㨗	jié
㦢	jié
衱	jié
𪌧	jié
𩟦	jié
𢎡	jié
踕	jié
幯	jié
巀	jié
䲙	jié
㔚	jié
㼪	jié
誱	jié
䂶	jié
𢷿	jié
𠄍	jié
鍻	jié
𪉋	jié
截	jié
偼	jié
㞯	jié
𧽟	jié
昅	jié
𢢂	jié
𢨜	jié
𣮍	jié
𡸎	jié
喼	jié
崨	jié
莭	jié
蠘	jié
颉	jié
𥅴	jié
𪅸	jié
𧾯	jié
𢬱	jié
𡨲	jié
𣳟	jié
𪖋	jié
羯	jié
𢎔	jié
𡣯	jié
𥢻	jié
杰	jié
𠬮	jié
刼	jié
迼	jié
𪀾	jié
䗻	jié
𤁢	jié
蜐	jié
蠞	jié
𢈻	jié
袺	jié
𨃲	jié
𧫑	jié
𧍩	jié
𦀖	jié
𪃈	jié
𠅂	jié
鉣	jié
𡽱	jié
𥓐	jié
䕙	jié
𠯙	jié
刧	jié
潔	jié
楶	jié
孑	jié
㓗	jié
𥝥	jié
节	jié
𦈜	jié
𥇒	jié
滐	jié
㛃	jié
𥾌	jié
傑	jié
𦿐	jié
岊	jié
竭	jié
𦺢	jié
𠐉	jié
蓵	jié
𦎒	jié
𣮌	jié
𢱄	jié
嵥	jié
㮞	jié
𣰞	jié
𨥂	jié
𡩣	jié
𣚃	jié
𡙣	jié
𢫐	jié
榤	jié
䌖	jié
㮮	jié
𧽄	jié
𥝔	jié
𥠹	jié
𧞩	jié
𦵴	jié
桀	jié
𥵞	jié
𥁂	jié
𧞬	jié
𩔄	jié
䂝	jié
𨕽	jié
𩾶	jié
𣙴	jié
𡉷	jié
𧏥	jié
𩧵	jié
劫	jié
𨓰	jié
𧍠	jié
𠂈	jié/tiǎn
𢻮	jié/fú
䅥	jié/gé
砝	jié/gé/fǎ/fá
拮	jié/jiá
𢪍	jié/jiā
節	jié/jiē
结	jié/jiē
結	jié/jiē/jì
𧼨	jié/jué
訐	jié/jì
櫭	jié/jì
𩯰	jié/jì
魝	jié/jì
㸅	jié/jí
鞊	jié/jí
尐	jié/jí
𧾢	jié/jí
蝍	jié/jí
洁	jié/jí
𩢴	jié/jí
碣	jié/kě/yà
鮚	jié/qià
楬	jié/qià
疌	jié/qiè
𡔣	jié/qiè
婕	jié/qiè
倢	jié/qiè
捷	jié/qiè/chā
蛣	jié/qiè/qī
䥛	jié/qì/jiē
偈	jié/qì/jì
𡵒	jié/qǐ
睫	jié/shè
䣠	jié/tì/zá
絜	jié/xié/qià/jiá/qì
搩	jié/zhǎ
䀹	jié/zhǎ/shè/jiá/yà
鹫	jiù
桕	jiù
𠃺	jiù
𢑇	jiù
鷲	jiù
𩢹	jiù
柾	jiù
𠙔	jiù
䆒	jiù
媨	jiù
𠜃	jiù
䊘	jiù
𠣿	jiù
𥆷	jiù
𧫾	jiù
䬨	jiù
旧	jiù
㝌	jiù
𡆥	jiù
䛮	jiù
僦	jiù
𨘂	jiù
慦	jiù
匛	jiù
匓	jiù
厩	jiù
廏	jiù
𤷑	jiù
𨖏	jiù
𧾻	jiù
𩶧	jiù
𧡑	jiù
柩	jiù
就	jiù
舊	jiù
齨	jiù
䅢	jiù
䳎	jiù
㠇	jiù
𦭻	jiù
倃	jiù
𦠢	jiù
殧	jiù
𨘮	jiù
廐	jiù
廄	jiù
㲃	jiù
匶	jiù
臼	jiù
麔	jiù
𢽭	jiù
疚	jiù
咎	jiù/gāo
舅	jiù/jiu
救	jiù/jiū
㺩	jiù/qiú
䊆	jiù/qiǔ
𥘦	jiù/shè
𩒦	jiù/xìn
㩆	jiù/zú
鯦	jiù/ǎi
㺵	jiú
鉫	jiā
𥡮	jiā
𨔗	jiā
佳	jiā
𧦤	jiā
䂟	jiā
麚	jiā
䕒	jiā
嘉	jiā
𠷉	jiā
浃	jiā
𧉪	jiā
𪐓	jiā
珈	jiā
𣪇	jiā
镓	jiā
痂	jiā
𪔟	jiā
𦣯	jiā
抸	jiā
𩶛	jiā
𩊏	jiā
𡶥	jiā
耞	jiā
𣮫	jiā
𤠙	jiā
跏	jiā
𤟚	jiā
梜	jiā
袈	jiā
猳	jiā
㚙	jiā
腵	jiā
笳	jiā
𥹌	jiā
鎵	jiā
𡭘	jiā
䴥	jiā
貑	jiā
𠺢	jiā
毠	jiā
加	jiā
泇	jiā
𦎮	jiā
𥝿	jiā
豭	jiā
乫	jiā
犌	jiā
筴	jiā/cè
㹢	jiā/gā
鉿	jiā/gē/kē/hā
家	jiā/jia/jià/jie/gū
𨔣	jiā/jià
枷	jiā/jià
夹	jiā/jiá
夾	jiā/jiá/xié/xiá/gā
袷	jiā/jié/jiá
茄	jiā/qié
埉	jiā/xiá
浹	jiā/xiá
葭	jiā/xiá
迦	jiā/xiè
裌	jiā/xié/jiá
拁	jiā/yá
𡩚	jiā/zhuàn
𥊇	jiān
㦰	jiān
𡬵	jiān
菺	jiān
䓸	jiān
艰	jiān
𩍎	jiān
瀐	jiān
𩆷	jiān
𢨿	jiān
堅	jiān
睷	jiān
戋	jiān
蒹	jiān
𣘖	jiān
蕳	jiān
𢳚	jiān
𧥈	jiān
𪒹	jiān
𦣨	jiān
姦	jiān
鵳	jiān
惤	jiān
瀸	jiān
𩇏	jiān
䘋	jiān
𠿏	jiān
𠫘	jiān
鰹	jiān
䌑	jiān
馢	jiān
𧢖	jiān
樫	jiān
䶬	jiān
姧	jiān
歼	jiān
偂	jiān
𩋋	jiān
牋	jiān
鞯	jiān
鹣	jiān
熞	jiān
瑊	jiān
监	jiān
𣮏	jiān
𦽇	jiān
葌	jiān
𩱃	jiān
豜	jiān
𣝕	jiān
䔐	jiān
𦏔	jiān
𦋰	jiān
艱	jiān
韀	jiān
蕑	jiān
篯	jiān
𠼤	jiān
箋	jiān
缣	jiān
縑	jiān
鲣	jiān
尖	jiān
虃	jiān
熸	jiān
𧂢	jiān
殲	jiān
缄	jiān
笺	jiān
囏	jiān
坚	jiān
猏	jiān
𢐆	jiān
𩌯	jiān
𣘷	jiān
𪐻	jiān
緘	jiān
𥌈	jiān
𨴾	jiān
㭴	jiān
鳒	jiān
𣽖	jiān
麉	jiān
覸	jiān
䌠	jiān
𤍖	jiān
𩛧	jiān
𢃬	jiān
𡄑	jiān
𢦺	jiān
韉	jiān
𧤨	jiān
𤪋	jiān
礛	jiān
𧲨	jiān
兼	jiān
冿	jiān
𨳡	jiān/guān
菅	jiān/guān
奸	jiān/gān
椷	jiān/hán
间	jiān/jian/jiàn
間	jiān/jian/jiàn/jiǎn
鞬	jiān/jiàn
𣚙	jiān/jiàn
𩅼	jiān/jiàn
煎	jiān/jiàn/jiǎn
監	jiān/jiàn/kàn
鐧	jiān/jiǎn
𨔥	jiān/jīn
搛	jiān/lián
㔋	jiān/lán
𪏊	jiān/miǎn
㓺	jiān/qián
犍	jiān/qián/jiǎn
靬	jiān/qián/kān/hàn
鶼	jiān/qiān
㡨	jiān/qiān
鑯	jiān/qiān
𥡝	jiān/qiān
幵	jiān/qiān
鳽	jiān/qiān/zhàn
櫼	jiān/shān
䶢	jiān/xián
肩	jiān/xián
𨳿	jiān/xì/mǎ
豣	jiān/yàn
玪	jiān/yín/qián/lín
椾	jiān/zhàn
碊	jiān/zhàn
餰	jiān/zhān
湔	jiān/zàn/zhǎn/qián/jiàn
